Nat,Pokemon,Generation,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve
68,Machamp,I,90,130,80,65,85,55,505,Fighting,,Guts,No Guard,Steadfast,3 Atk,M (75%),Human-Like,,45,Trade
69,Bellsprout,I,50,75,35,70,30,40,300,Grass,Poison,Chlorophyll,,Gluttony,1 Atk,Neutral,Grass,,255,
70,Weepinbell,I,65,90,50,85,45,55,390,Grass,Poison,Chlorophyll,,Gluttony,2 Atk,Neutral,Grass,,120,Lv. 21
71,Victreebel,I,80,105,65,100,70,70,490,Grass,Poison,Chlorophyll,,Gluttony,3 Atk,Neutral,Grass,,45,Leaf Stone
72,Tentacool,I,40,40,35,50,100,70,335,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,1 SpD,Neutral,Water 3,,190,
73,Tentacruel,I,80,70,65,80,120,100,515,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,2 SpD,Neutral,Water 3,,60,Lv. 30
74,Geodude,I,40,80,100,30,30,20,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,1 Def,Neutral,Mineral,,255,
75,Graveler,I,55,95,115,45,45,35,390,Rock,Ground,Rock Head,Sturdy,Sand Veil,2 Def,Neutral,Mineral,,120,Lv. 25
76,Golem,I,80,120,130,55,65,45,495,Rock,Ground,Rock Head,Sturdy,Sand Veil,3 Def,Neutral,Mineral,,45,Trade
77,Ponyta,I,50,85,55,65,65,90,410,Fire,,Run Away,Flash Fire,Flame Body,1 Spe,Neutral,Field,,190,
78,Rapidash,I,65,100,70,80,80,105,500,Fire,,Run Away,Flash Fire,Flame Body,1 Spe,Neutral,Field,,60,Lv. 40
79,Slowpoke,I,90,65,65,40,40,15,315,Water,Psychic,Oblivious,Own Tempo,Regenerator,1 HP,Neutral,Monster,Water 1,190,
80,Slowbro,I,95,75,110,100,80,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,2 Def,Neutral,Monster,Water 1,75,Lv. 37
81,Magnemite,I,25,35,70,95,55,45,325,Electric,Steel,Magnet Pull,Sturdy,Analytic,1 SpA,None,Mineral,,190,
82,Magneton,I,50,60,95,120,70,70,465,Electric,Steel,Magnet Pull,Sturdy,Analytic,2 SpA,None,Mineral,,60,Lv. 30
83,Farfetch'd,I,52,90,55,58,62,60,377,Normal,Flying,Keen Eye,Inner Focus,Defiant,1 Atk,Neutral,Flying,Field,45,N
84,Doduo,I,35,85,45,35,35,75,310,Normal,Flying,Run Away,Early Bird,Tangled Feet,1 Atk,Neutral,Flying,,190,
85,Dodrio,I,60,110,70,60,60,110,470,Normal,Flying,Run Away,Early Bird,Tangled Feet,2 Atk,Neutral,Flying,,45,Lv. 31
86,Seel,I,65,45,55,45,70,45,325,Water,,Thick Fat,Hydration,Ice Body,1 SpD,Neutral,Water 1,Field,190,
87,Dewgong,I,90,70,80,70,95,70,475,Water,Ice,Thick Fat,Hydration,Ice Body,2 SpD,Neutral,Water 1,Field,75,Lv. 34
88,Grimer,I,80,80,50,40,50,25,325,Poison,,Stench,Sticky Hold,Poison Touch,1 HP,Neutral,Amorphous,,190,
89,Muk,I,105,105,75,65,100,50,500,Poison,,Stench,Sticky Hold,Poison Touch,1 HP/1 Atk,Neutral,Amorphous,,75,Lv. 38
90,Shellder,I,30,65,100,45,25,40,305,Water,,Shell Armor,Skill Link,Overcoat,1 Def,Neutral,Water 3,,190,
91,Cloyster,I,50,95,180,85,45,70,525,Water,Ice,Shell Armor,Skill Link,Overcoat,2 Def,Neutral,Water 3,,60,Water Stone
92,Gastly,I,30,35,30,100,35,80,310,Ghost,Poison,Levitate,,,1 SpA,Neutral,Amorphous,,190,
93,Haunter,I,45,50,45,115,55,95,405,Ghost,Poison,Levitate,,,2 SpA,Neutral,Amorphous,,90,Lv. 25
94,Gengar,I,60,65,60,130,75,110,500,Ghost,Poison,Cursed Body,,,3 SpA,Neutral,Amorphous,,45,Trade
95,Onix,I,35,45,160,30,45,70,385,Rock,Ground,Rock Head,Sturdy,Weak Armor,1 Def,Neutral,Mineral,,45,
96,Drowzee,I,60,48,45,43,90,42,328,Psychic,,Insomnia,Forewarn,Inner Focus,1 SpD,Neutral,Human-Like,,190,
97,Hypno,I,85,73,70,73,115,67,483,Psychic,,Insomnia,Forewarn,Inner Focus,2 SpD,Neutral,Human-Like,,75,Lv. 26
98,Krabby,I,30,105,90,25,25,50,325,Water,,Hyper Cutter,Shell Armor,Sheer Force,1 Atk,Neutral,Water 3,,225,
99,Kingler,I,55,130,115,50,50,75,475,Water,,Hyper Cutter,Shell Armor,Sheer Force,2 Atk,Neutral,Water 3,,60,Lv. 28
100,Voltorb,I,40,30,50,55,55,100,330,Electric,,Soundproof,Static,Aftermath,1 Spe,None,Mineral,,190,
101,Electrode,I,60,50,70,80,80,150,490,Electric,,Soundproof,Static,Aftermath,2 Spe,None,Mineral,,60,Lv. 30
102,Exeggcute,I,60,40,80,60,45,40,325,Grass,Psychic,Chlorophyll,,Harvest,1 Def,Neutral,Grass,,90,
103,Exeggutor,I,95,95,85,125,75,55,530,Grass,Psychic,Chlorophyll,,Harvest,2 SpA,Neutral,Grass,,45,Leaf Stone
104,Cubone,I,50,50,95,40,50,35,320,Ground,,Rock Head,Lightningrod,Battle Armor,1 Def,Neutral,Monster,,190,
105,Marowak,I,60,80,110,50,80,45,425,Ground,,Rock Head,Lightningrod,Battle Armor,2 Def,Neutral,Monster,,75,Lv. 28
106,Hitmonlee,I,50,120,53,35,110,87,455,Fighting,,Limber,Reckless,Unburden,2 Atk,M (100%),Human-Like,,45,Lv. 20 (Atk>Def)
107,Hitmonchan,I,50,105,79,35,110,76,455,Fighting,,Keen Eye,Iron Fist,Inner Focus,2 SpD,M (100%),Human-Like,,45,Lv. 20 (Atk<Def)
108,Lickitung,I,90,55,75,60,75,30,385,Normal,,Own Tempo,Oblivious,Cloud Nine,2 HP,Neutral,Monster,,45,
109,Koffing,I,40,65,95,60,45,35,340,Poison,,Levitate,Neutralizing Gas,Stench,1 Def,Neutral,Amorphous,,190,
110,Weezing,I,65,90,120,85,70,60,490,Poison,,Levitate,Neutralizing Gas,Stench,2 Def,Neutral,Amorphous,,60,Lv. 35
111,Rhyhorn,I,80,85,95,30,30,25,345,Ground,Rock,Lightningrod,Rock Head,Reckless,1 Def,Neutral,Monster,Field,120,
112,Rhydon,I,105,130,120,45,45,40,485,Ground,Rock,Lightningrod,Rock Head,Reckless,2 Atk,Neutral,Monster,Field,60,Lv. 42
113,Chansey,I,250,5,5,35,105,50,450,Normal,,Natural Cure,Serene Grace,Healer,2 HP,F (100%),Fairy,,30,Morn/Day Fr. h/ Oval Stone
114,Tangela,I,65,55,115,100,40,60,435,Grass,,Chlorophyll,Leaf Guard,Regenerator,1 Def,Neutral,Grass,,45,
115,Kangaskhan,I,105,95,80,40,80,90,490,Normal,,Early Bird,Scrappy,Inner Focus,2 HP,F (100%),Monster,,45,N
116,Horsea,I,30,40,70,70,25,60,295,Water,,Swift Swim,Sniper,Damp,1 SpA,Neutral,Water 1,Dragon,225,
117,Seadra,I,55,65,95,95,45,85,440,Water,,Poison Point,Sniper,Damp,1 Def/1 SpA,Neutral,Water 1,Dragon,75,Lv. 32
118,Goldeen,I,45,67,60,35,50,63,320,Water,,Swift Swim,Water Veil,Lightningrod,1 Atk,Neutral,Water 2,,225,
119,Seaking,I,80,92,65,65,80,68,450,Water,,Swift Swim,Water Veil,Lightningrod,2 Atk,Neutral,Water 2,,60,Lv. 33
120,Staryu,I,30,45,55,70,55,85,340,Water,,Illuminate,Natural Cure,Analytic,1 Spe,None,Water 3,,225,
121,Starmie,I,60,75,85,100,85,115,520,Water,Psychic,Illuminate,Natural Cure,Analytic,2 Spe,None,Water 3,,60,Water Stone
122,Mr. Mime,I,40,45,65,100,120,90,460,Psychic,Fairy,Soundproof,Filter,Technician,2 SpD,Neutral,Human-Like,,45,Level w/ Mimic
123,Scyther,I,70,110,80,55,80,105,500,Bug,Flying,Swarm,Technician,Steadfast,1 Atk,Neutral,Bug,,45,
124,Jynx,I,65,50,35,115,95,95,455,Ice,Psychic,Oblivious,Forewarn,Dry Skin,2 SpA,F (100%),Human-Like,,45,Lv. 30
125,Electabuzz,I,65,83,57,95,85,105,490,Electric,,Static,,Vital Spirit,2 Spe,M (75%),Human-Like,,45,Lv. 30
126,Magmar,I,65,95,57,100,85,93,495,Fire,,Flame Body,,Vital Spirit,2 SpA,M (75%),Human-Like,,45,Lv. 30
127,Pinsir,I,65,125,100,55,70,85,500,Bug,,Hyper Cutter,Mold Breaker,Moxie,2 Atk,Neutral,Bug,,45,N
128,Tauros,I,75,100,95,40,70,110,490,Normal,,Intimidate,Anger Point,Sheer Force,1 Atk/1 Spe,M (100%),Field,,45,N
129,Magikarp,I,20,10,55,15,20,80,200,Water,,Swift Swim,,Rattled,1 Spe,Neutral,Water 2,Dragon,255,
130,Gyarados,I,95,125,79,60,100,81,540,Water,Flying,Intimidate,,Moxie,2 Atk,Neutral,Water 2,Dragon,45,Lv. 20
131,Lapras,I,130,85,80,85,95,60,535,Water,Ice,Water Absorb,Shell Armor,Hydration,2 HP,Neutral,Monster,Water 1,45,N
132,Ditto,I,48,48,48,48,48,48,288,Normal,,Limber,,Imposter,1 HP,None,Ditto,,35,N
133,Eevee,I,55,55,50,45,65,55,325,Normal,,Run Away,Adaptability,Anticipation,1 SpD,M (87.5%),Field,,45,
134,Vaporeon,I,130,65,60,110,95,65,525,Water,,Water Absorb,,Hydration,2 HP,M (87.5%),Field,,45,Water Stone
135,Jolteon,I,65,65,60,110,95,130,525,Electric,,Volt Absorb,,Quick Feet,2 Spe,M (87.5%),Field,,45,Thunderstone
136,Flareon,I,65,130,60,95,110,65,525,Fire,,Flash Fire,,Guts,2 Atk,M (87.5%),Field,,45,Fire Stone
137,Porygon,I,65,60,70,85,75,40,395,Normal,,Trace,Download,Analytic,1 SpA,None,Mineral,,45,
138,Omanyte,I,35,40,100,90,55,35,355,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1 Def,M (87.5%),Water 1,Water 3,45,
139,Omastar,I,70,60,125,115,70,55,495,Rock,Water,Swift Swim,Shell Armor,Weak Armor,2 Def,M (87.5%),Water 1,Water 3,45,Lv. 40
140,Kabuto,I,30,80,90,55,45,55,355,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1 Def,M (87.5%),Water 1,Water 3,45,
141,Kabutops,I,60,115,105,65,70,80,495,Rock,Water,Swift Swim,Battle Armor,Weak Armor,2 Atk,M (87.5%),Water 1,Water 3,45,Lv. 40
142,Aerodactyl,I,80,105,65,60,75,130,515,Rock,Flying,Rock Head,Pressure,Unnerve,2 Spe,M (87.5%),Flying,,45,N
143,Snorlax,I,160,110,65,65,110,30,540,Normal,,Immunity,Thick Fat,Gluttony,2 HP,M (87.5%),Monster,,25,Friendship
144,Articuno,I,90,85,100,95,125,85,580,Ice,Flying,Pressure,,Snow Cloak,3 SpD,None,-,,3,N
145,Zapdos,I,90,90,85,125,90,100,580,Electric,Flying,Pressure,,Static,3 SpA,None,-,,3,N
146,Moltres,I,90,100,90,125,85,90,580,Fire,Flying,Pressure,,Flame Body,3 SpA,None,-,,3,N
147,Dratini,I,41,64,45,50,50,50,300,Dragon,,Shed Skin,,Marvel Scale,1 Atk,Neutral,Water 1,Dragon,45,
148,Dragonair,I,61,84,65,70,70,70,420,Dragon,,Shed Skin,,Marvel Scale,2 Atk,Neutral,Water 1,Dragon,45,Lv. 30
149,Dragonite,I,91,134,95,100,100,80,600,Dragon,Flying,Inner Focus,,Multiscale,3 Atk,Neutral,Water 1,Dragon,45,Lv. 55
150,Mewtwo,I,106,110,90,154,90,130,680,Psychic,,Pressure,,Unnerve,3 SpA,None,-,,3,N
151,Mew,I,100,100,100,100,100,100,600,Psychic,,Synchronize,,,3 HP,None,-,,45,N
152,Chikorita,II,45,49,65,49,65,45,318,Grass,,Overgrow,,Leaf Guard,1 SpD,M (87.5%),Monster,Grass,45,
153,Bayleef,II,60,62,80,63,80,60,405,Grass,,Overgrow,,Leaf Guard,1 Def/1 SpD,M (87.5%),Monster,Grass,45,Lv. 16
154,Meganium,II,80,82,100,83,100,80,525,Grass,,Overgrow,,Leaf Guard,1 Def/2 SpD,M (87.5%),Monster,Grass,45,Lv. 32
155,Cyndaquil,II,39,52,43,60,50,65,309,Fire,,Blaze,,Flash Fire,1 Spe,M (87.5%),Field,,45,
156,Quilava,II,58,64,58,80,65,80,405,Fire,,Blaze,,Flash Fire,1 SpA/1 Spe,M (87.5%),Field,,45,Lv. 14
157,Typhlosion,II,78,84,78,109,85,100,534,Fire,,Blaze,,Flash Fire,3 SpA,M (87.5%),Field,,45,Lv. 36
158,Totodile,II,50,65,64,44,48,43,314,Water,,Torrent,,Sheer Force,1 Atk,M (87.5%),Monster,Water 1,45,
159,Croconaw,II,65,80,80,59,63,58,405,Water,,Torrent,,Sheer Force,1 Atk/1 Def,M (87.5%),Monster,Water 1,45,Lv. 18
160,Feraligatr,II,85,105,100,79,83,78,530,Water,,Torrent,,Sheer Force,2 Atk/1 Def,M (87.5%),Monster,Water 1,45,Lv. 30
161,Sentret,II,35,46,34,35,45,20,215,Normal,,Run Away,Keen Eye,Frisk,1 Atk,Neutral,Field,,255,
162,Furret,II,85,76,64,45,55,90,415,Normal,,Run Away,Keen Eye,Frisk,2 Spe,Neutral,Field,,90,Lv. 15
163,Hoothoot,II,60,30,30,36,56,50,262,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,1 HP,Neutral,Flying,,255,
164,Noctowl,II,100,50,50,86,96,70,452,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,2 HP,Neutral,Flying,,90,Lv. 20
165,Ledyba,II,40,20,30,40,80,55,265,Bug,Flying,Swarm,Early Bird,Rattled,1 SpD,Neutral,Bug,,255,
166,Ledian,II,55,35,50,55,110,85,390,Bug,Flying,Swarm,Early Bird,Iron Fist,2 SpD,Neutral,Bug,,90,Lv. 18
167,Spinarak,II,40,60,40,40,40,30,250,Bug,Poison,Swarm,Insomnia,Sniper,1 Atk,Neutral,Bug,,255,
168,Ariados,II,70,90,70,60,70,40,400,Bug,Poison,Swarm,Insomnia,Sniper,2 Atk,Neutral,Bug,,90,Lv. 22
169,Crobat,II,85,90,80,70,80,130,535,Poison,Flying,Inner Focus,,Infiltrator,3 Spe,Neutral,Flying,,90,Friendship
170,Chinchou,II,75,38,38,56,56,67,330,Water,Electric,Volt Absorb,Illuminate,Water Absorb,1 HP,Neutral,Water 2,,190,
171,Lanturn,II,125,58,58,76,76,67,460,Water,Electric,Volt Absorb,Illuminate,Water Absorb,2 HP,Neutral,Water 2,,75,Lv. 27
172,Pichu,II,20,40,15,35,35,60,205,Electric,,Static,,Lightningrod,1 Spe,Neutral,-,,190,
173,Cleffa,II,50,25,28,45,55,15,218,Fairy,,Cute Charm,Magic Guard,Friend Guard,2 SpD,F (75%),-,,150,
174,Igglybuff,II,90,30,15,40,20,15,210,Normal,Fairy,Cute Charm,,Friend Guard,1 HP,F (75%),-,,170,
175,Togepi,II,35,20,65,40,65,20,245,Fairy,,Hustle,Serene Grace,Super Luck,1 SpD,M (87.5%),-,,190,
176,Togetic,II,55,40,85,80,105,40,405,Fairy,Flying,Hustle,Serene Grace,Super Luck,2 SpD,M (87.5%),Flying,Fairy,75,Friendship
177,Natu,II,40,50,45,70,45,70,320,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,1 SpA,Neutral,Flying,,190,
178,Xatu,II,65,75,70,95,70,95,470,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,1 SpA/1 Spe,Neutral,Flying,,75,Lv. 25
179,Mareep,II,55,40,40,65,45,35,280,Electric,,Static,,Plus,1 SpA,Neutral,Monster,Field,235,
180,Flaaffy,II,70,55,55,80,60,45,365,Electric,,Static,,Plus,2 SpA,Neutral,Monster,Field,120,Lv. 15
181,Ampharos,II,90,75,85,115,90,55,510,Electric,,Static,,Plus,3 SpA,Neutral,Monster,Field,45,Lv. 30
182,Bellossom,II,75,80,95,90,100,50,490,Grass,,Chlorophyll,,Healer,3 SpD,Neutral,Grass,,45,Sun Stone
183,Marill,II,70,20,50,20,50,40,250,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,2 HP,Neutral,Water 1,Fairy,190,Friendship
184,Azumarill,II,100,50,80,60,80,50,420,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,3 HP,Neutral,Water 1,Fairy,75,Lv. 18
185,Sudowoodo,II,70,100,115,30,65,30,410,Rock,,Sturdy,Rock Head,Rattled,2 Def,Neutral,Mineral,,65,Level w/ Mimic
186,Politoed,II,90,75,75,90,100,70,500,Water,,Water Absorb,Damp,Drizzle,3 SpD,Neutral,Water 1,,45,Trade h/ Kings Rock
187,Hoppip,II,35,35,40,35,55,50,250,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,1 SpD,Neutral,Fairy,Grass,255,
188,Skiploom,II,55,45,50,45,65,80,340,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2 Spe,Neutral,Fairy,Grass,120,Lv. 18
189,Jumpluff,II,75,55,70,55,95,110,460,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,3 Spe,Neutral,Fairy,Grass,45,Lv. 27
190,Aipom,II,55,70,55,40,55,85,360,Normal,,Run Away,Pickup,Skill Link,1 Spe,Neutral,Field,,45,
191,Sunkern,II,30,30,30,30,30,30,180,Grass,,Chlorophyll,Solar Power,Early Bird,1 SpA,Neutral,Grass,,235,
192,Sunflora,II,75,75,55,105,85,30,425,Grass,,Chlorophyll,Solar Power,Early Bird,2 SpA,Neutral,Grass,,120,Sun Stone
193,Yanma,II,65,65,45,75,45,95,390,Bug,Flying,Speed Boost,Compoundeyes,Frisk,2 Spe,Neutral,Bug,,75,
194,Wooper,II,55,45,45,25,25,15,210,Water,Ground,Damp,Water Absorb,Unaware,1 HP,Neutral,Water 1,Field,255,
195,Quagsire,II,95,85,85,65,65,35,430,Water,Ground,Damp,Water Absorb,Unaware,2 HP,Neutral,Water 1,Field,90,Lv. 20
